dato1;paske;f_pk;gr_1;gr_2;gr_3;lpy
01.01.2006;0;0;2.01960784313725;0.0196078431372548;0.0196078431372548;0
01.02.2006;0;0;0;0.0196078431372549;0;-0.25
01.03.2006;-0.245098039215686;-0.415686274509804;0.941176470588235;4.29411764705882;0.705882352941177;0
01.04.2006;0.245098039215686;0.415686274509804;-2.94117647058824;-4.33333333333333;-0.725490196078431;0
01.05.2006;0;0;2.33333333333333;1.09803921568627;0.411764705882353;0
01.06.2006;0;0;-1.58823529411765;0.470588235294118;-0.529411764705882;0
01.07.2006;0;0;-0.96078431372549;-2.90196078431373;0.0196078431372549;0
01.08.2006;0;0;0.96078431372549;1.92156862745098;0;0
01.09.2006;0;0;0.0392156862745098;1.01960784313725;1;0
01.10.2006;0;0;-0.0196078431372549;-2.96078431372549;-1;0
01.11.2006;0;0;-0.0196078431372549;1.94117647058824;0;0
